,Dice,JI,recall,precision,specificity
0074_20070308_4_230,0.9032860343539956,0.8236295539666326,0.9950637597696421,0.827008547008547,0.8713450292397661
0074_20070308_4_240,0.8889630990148606,0.8001202284340246,1.0,0.8001202284340246,0.9622930369698345
0074_20070308_4_220,0.9140357550399392,0.8416812609457093,0.9991683991683992,0.8422712933753943,0.9030590262817751
0084_20070403_2_489,0.9274732910622774,0.8647554259799157,0.9322507420988301,0.9227445558244037,0.99106875262243
0084_20070403_2_470,0.9344130736120231,0.8768999041489799,0.933527696793003,0.9353001314444283,0.9574856046065259
0084_20070403_2_456,0.7413220219158714,0.5889687710626825,0.9886856496322836,0.5929653924451481,0.8015111405250386
0091_20070313_2_251,0.763554662094247,0.6175401683244071,0.9930790525992003,0.6202093939102872,0.6839454857919348
0091_20070313_2_285,0.6883921970084741,0.5248460671234064,0.982148653034729,0.5299010594518869,0.8994437473076995
0091_20070313_2_234,0.8570453603724376,0.7498507208052546,0.996711831736493,0.7517102787754404,0.6897141330483569
0129_20070324_3_219,0.9002506265664161,0.8185961713764813,0.9944629014396457,0.8223443223443223,0.8423191547006231
0129_20070324_3_209,0.900604063701263,0.8191808191808192,0.9838032393521295,0.830379746835443,0.907967032967033
0129_20070324_3_229,0.9220259128386337,0.8553321678321678,0.9132057862809146,0.9310180780209324,0.9397590361445783
0142_20070330_3_157,0.7743743743743744,0.6318196667755636,0.8467600700525394,0.7133898930284028,0.8618912193387842
0142_20070330_3_166,0.8887501950382275,0.7997753440044931,0.9408655434423522,0.8421052631578947,0.9574671445639188
0142_20070330_3_234,0.9084810733109727,0.8323090430201932,0.983402489626556,0.8441674087266251,0.7809762202753442
0151_20070711_3_123,0.7842132239876987,0.6450252951096122,0.9855072463768116,0.651202383485848,0.8950368235670829
0151_20070711_3_136,0.8570192889888418,0.7498108067201453,0.980990099009901,0.7608662263861158,0.9503507653061225
0151_20070711_3_162,0.8090729783037476,0.6793640278237827,0.9613311460042184,0.698450536352801,0.9615901795783812
0152_20070725_3_188,0.9510451045104511,0.9066596748820136,0.9861216730038023,0.9183781869688386,0.9743175487465181
0152_20070725_3_201,0.9298460461861442,0.8688899787477522,0.9882856080327259,0.8779319458209448,0.9595556042031523
0152_20070725_3_165,0.8938503721112416,0.8080736543909348,0.9924615830675558,0.813064133016627,0.9439099137623833
0156_20070411_4_208,0.9559082892416225,0.9155405405405406,0.9904065783462769,0.9237324243715381,0.9333581533879375
0156_20070411_4_219,0.9251756924348904,0.8607692307692307,0.9951089373054691,0.8644264194669756,0.8761030709495234
0156_20070411_4_192,0.9673528800166354,0.936770036246476,0.994017094017094,0.9420818144997974,0.9323237103644108
0160_20070501_3_123,0.882171226831421,0.7891827872088433,0.9955179282868526,0.7919968304278923,0.9638479548271588
0160_20070501_3_143,0.7283702213279678,0.5727848101265823,0.905,0.6094276094276094,0.9842878040851709
0160_20070501_3_133,0.7878585723815877,0.6499724821133737,0.9176379176379177,0.690239625949737,0.9859016306227223
0165_20070502_3_091,0.9057793674698795,0.8277849462365592,0.9710393541876892,0.8487387546304462,0.913124968340003
0165_20070502_3_080,0.7452044655523345,0.5938851749901691,1.0,0.5938851749901691,0.7879363449691992
0165_20070502_3_070,0.9137010232093836,0.8411137658518655,0.996407576747224,0.8436722278551019,0.8743145101526605
0168_20070503_2_581,0.8754331921447824,0.778462592021914,0.9997801231310466,0.7785958904109589,0.9523440955329501
0168_20070503_2_606,0.9058899886418952,0.8279697464036779,0.9983905579399142,0.8290763290763291,0.8535623409669211
0168_20070503_2_570,0.9009187279151943,0.819701646090535,0.9971839799749687,0.8216035060582625,0.9510435090201628
0174_20070530_3_119,0.9333333333333333,0.875,0.9374449339207048,0.9292576419213974,0.9639759839893263
0174_20070530_3_107,0.935618545374643,0.8790255986787778,0.9748168498168498,0.8994507815800592,0.9355013550135501
0174_20070530_3_093,0.9507993170883129,0.9062130177514793,0.9462465245597775,0.9553961322520275,0.9741503976861895
0213_20070522_3_117,0.8884766722878021,0.7993324567614039,0.9743558130933301,0.8165099700382271,0.9644736052489448
0213_20070522_3_148,0.7384481255448997,0.585348997926745,0.8705035971223022,0.6411809235427707,0.9912565483656754
0213_20070522_3_103,0.7926846692384626,0.6565680473372781,0.9894774389156412,0.6611846025503516,0.9385310587879181
0256_20070627_3_143,0.7805262067536772,0.6400516444686056,0.9505500050459178,0.6620975678335442,0.9443962475853374
0256_20070627_3_152,0.8056310751927303,0.6745244777050202,0.9706542223817644,0.6885663356251591,0.938399546685135
0256_20070627_3_120,0.7952702432788719,0.6601233503547981,0.9525358851674641,0.6825756017280395,0.9434107579462103
0265_20070625_3_172,0.8270019130910085,0.7050326188257223,0.9551767676767676,0.7291566265060241,0.9851957220378273
0265_20070625_3_162,0.8962962962962963,0.8120805369127517,0.969551282051282,0.8333333333333334,0.9979951286597186
0295_20070610_4_146,0.8780726667319557,0.7826466480446927,0.9926926483613817,0.7871817383669886,0.9707712342642165
0295_20070610_4_169,0.7621016784237412,0.6156415798781686,0.8961670480549199,0.6629284807448159,0.8738917036098797
0295_20070610_4_138,0.9411764705882353,0.8888888888888888,0.9958779884583677,0.8921713441654358,0.983602875112309
0396_20070805_3_243,0.834198249200608,0.7155575539568345,0.7744792680552852,0.9038963989549017,0.9063848622330419
0396_20070805_3_280,0.9505455729873514,0.9057521208359197,0.962934447866256,0.9384714331653983,0.9772285476256596
0396_20070805_3_255,0.9052132701421801,0.8268398268398268,0.9671675922901013,0.8507183908045977,0.9797457990564934
0400_20070807_2_439,0.784419844198442,0.6453049109552078,0.9977054651647893,0.6462640183758952,0.8029653044329044
0400_20070807_2_454,0.8223237778701011,0.6982596425211665,0.9966431688486069,0.6999057048561999,0.8569984273197034
0400_20070807_2_430,0.6503482587064676,0.48186375700383366,0.9849306811332128,0.48544266191325014,0.7554708456868559
0409_20070820_5_127,0.8742641765129378,0.7766157550221955,0.978574137277209,0.7900497512437811,0.9234397677793904
0409_20070820_5_169,0.8317418213969938,0.7119503519261333,0.9849230447073605,0.719794934578009,0.9092328665262114
0409_20070820_5_144,0.7534411625104969,0.6044168472848691,0.9828538769289389,0.6108578532946539,0.8816805573056361
0448_20070903_3_120,0.8920027341079972,0.8050586057988895,0.9883867710174199,0.8127465227319909,0.921146953405018
